"","year","plot_id","latitude","longitude","disp","ivfr","phau","scam","sppa"
"1",2015,"G1_1",38.876194,-76.548647,4,4,0,0,1
"2",2016,"G1_1",38.876194,-76.548647,4,0,0,0,0
"3",2017,"G1_1",38.876194,-76.548647,3,0,0,0,0
"4",2018,"G1_1",38.876194,-76.548647,1,0,0,0,2
"5",2015,"G1_10",38.874684,-76.548527,6,1,0,0,3
"6",2016,"G1_10",38.874684,-76.548527,5,4,0,0,1
"7",2017,"G1_10",38.874684,-76.548527,5,2,0,0,2
"8",2018,"G1_10",38.874684,-76.548527,2,0,0,0,4
"9",2015,"G1_11",38.874443,-76.548479,3,4,0,4,5
"10",2016,"G1_11",38.874443,-76.548479,0,5,0,5,5
"11",2017,"G1_11",38.874443,-76.548479,0,3,0,4,6
"12",2018,"G1_11",38.874443,-76.548479,0,0,0,5,3
"13",2015,"G1_12",38.874256,-76.548497,3,3,0,5,4
"14",2016,"G1_12",38.874256,-76.548497,3,3,0,5,5
"15",2017,"G1_12",38.874256,-76.548497,4,1,0,4,5
"16",2018,"G1_12",38.874256,-76.548497,4,0,0,5,6
"17",2015,"G1_13",38.874142,-76.548494,5,5,0,2,6
"18",2016,"G1_13",38.874142,-76.548494,2,5,0,3,6
"19",2017,"G1_13",38.874142,-76.548494,3,6,0,4,5
"20",2018,"G1_13",38.874142,-76.548494,3,5,0,3,6
"21",2015,"G1_14",38.873889,-76.548477,3,4,0,5,5
"22",2016,"G1_14",38.873889,-76.548477,2,4,0,3,5
"23",2017,"G1_14",38.873889,-76.548477,3,3,0,4,5
"24",2018,"G1_14",38.873889,-76.548477,2,0,0,4,5
"25",2015,"G1_15",38.873755,-76.548427,1,4,0,5,3
"26",2016,"G1_15",38.873755,-76.548427,0,3,0,4,5
"27",2017,"G1_15",38.873755,-76.548427,1,2,0,5,4
"28",2018,"G1_15",38.873755,-76.548427,1,2,0,4,6
"29",2015,"G1_16",38.873627,-76.548385,1,3,0,5,5
"30",2016,"G1_16",38.873627,-76.548385,2,0,0,4,5
"31",2017,"G1_16",38.873627,-76.548385,2,0,0,5,6
"32",2018,"G1_16",38.873627,-76.548385,1,0,0,6,5
"33",2015,"G1_17",38.873341,-76.548434,1,0,0,6,1
"34",2016,"G1_17",38.873341,-76.548434,2,0,0,5,0
"35",2017,"G1_17",38.873341,-76.548434,1,0,0,6,0
"36",2018,"G1_17",38.873341,-76.548434,0,0,0,6,1
"37",2015,"G1_18",38.87321,-76.548436,1,0,0,6,1
"38",2016,"G1_18",38.87321,-76.548436,3,0,0,5,1
"39",2017,"G1_18",38.87321,-76.548436,1,0,0,6,0
"40",2018,"G1_18",38.87321,-76.548436,0,0,0,6,1
"41",2015,"G1_19",38.872953,-76.548408,1,0,0,6,4
"42",2016,"G1_19",38.872953,-76.548408,2,0,0,4,3
"43",2017,"G1_19",38.872953,-76.548408,3,0,0,4,1
"44",2018,"G1_19",38.872953,-76.548408,1,0,0,5,5
