"","plot.id","easting","northing","disp","ivfr","phau","scam","sppa","band2","band3","band4","band5","ndvi","evi","ndwi","savi"
"1",4,365671.937,4303961.435,0,0,0,5,3,244,462,346,2525,0.758969000348311,1.96660649819495,-0.690659524606629,1.1378590078329
"2",4,365671.937,4303961.435,4,0,0,5,6,244,462,346,2525,0.758969000348311,1.96660649819495,-0.690659524606629,1.1378590078329
"3",5,365672.2157,4303960.269,0,0,0,5,3,244,462,346,2525,0.758969000348311,1.96660649819495,-0.690659524606629,1.1378590078329
"4",5,365672.2157,4303960.269,4,0,0,5,6,244,462,346,2525,0.758969000348311,1.96660649819495,-0.690659524606629,1.1378590078329
"5",6,365671.2172,4303960.091,0,0,0,5,3,244,462,346,2525,0.758969000348311,1.96660649819495,-0.690659524606629,1.1378590078329
"6",6,365671.2172,4303960.091,4,0,0,5,6,244,462,346,2525,0.758969000348311,1.96660649819495,-0.690659524606629,1.1378590078329
"7",7,365670.982,4303961.041,0,0,0,5,3,244,462,346,2525,0.758969000348311,1.96660649819495,-0.690659524606629,1.1378590078329
"8",7,365670.982,4303961.041,4,0,0,5,6,244,462,346,2525,0.758969000348311,1.96660649819495,-0.690659524606629,1.1378590078329
"9",9,365671.9276,4303961.414,0,0,0,5,3,244,462,346,2525,0.758969000348311,1.96660649819495,-0.690659524606629,1.1378590078329
"10",9,365671.9276,4303961.414,4,0,0,5,6,244,462,346,2525,0.758969000348311,1.96660649819495,-0.690659524606629,1.1378590078329
"11",10,365672.09,4303960.205,0,0,0,5,3,244,462,346,2525,0.758969000348311,1.96660649819495,-0.690659524606629,1.1378590078329
"12",10,365672.09,4303960.205,4,0,0,5,6,244,462,346,2525,0.758969000348311,1.96660649819495,-0.690659524606629,1.1378590078329
"13",11,365671.349,4303960.002,0,0,0,5,3,244,462,346,2525,0.758969000348311,1.96660649819495,-0.690659524606629,1.1378590078329
"14",11,365671.349,4303960.002,4,0,0,5,6,244,462,346,2525,0.758969000348311,1.96660649819495,-0.690659524606629,1.1378590078329
"15",12,365670.8875,4303961.096,0,0,0,5,3,244,462,346,2525,0.758969000348311,1.96660649819495,-0.690659524606629,1.1378590078329
"16",12,365670.8875,4303961.096,4,0,0,5,6,244,462,346,2525,0.758969000348311,1.96660649819495,-0.690659524606629,1.1378590078329
"17",14,365662.4043,4304176.912,1,0,0,0,2,256,504,346,2008,0.706032285471538,1.92094313453537,-0.598726114649682,1.05837401825515
"18",15,365661.5503,4304176.755,1,0,0,0,2,256,504,346,2008,0.706032285471538,1.92094313453537,-0.598726114649682,1.05837401825515
"19",19,365662.4442,4304156.412,1,0,0,0,2,220,467,296,2859,0.812361331220285,2.1472855227882,-0.719182200841852,1.21796293362902
"20",20,365662.2901,4304157.286,1,0,0,0,2,220,467,296,2859,0.812361331220285,2.1472855227882,-0.719182200841852,1.21796293362902
"21",23,365662.7492,4304143.794,1,0,0,0,6,255,675,400,3633,0.801636498884205,1.96200995266416,-0.686629526462396,1.20200768372785
"22",24,365662.7919,4304144.912,1,0,0,0,6,255,675,400,3633,0.801636498884205,1.96200995266416,-0.686629526462396,1.20200768372785
"23",26,365663.3497,4304130.746,1,0,0,0,6,255,675,400,3633,0.801636498884205,1.96200995266416,-0.686629526462396,1.20200768372785
"24",27,365662.4909,4304130.647,1,0,0,0,6,255,675,400,3633,0.801636498884205,1.96200995266416,-0.686629526462396,1.20200768372785
"25",27,365662.4909,4304130.647,1,0,0,0,6,255,675,400,3633,0.801636498884205,1.96200995266416,-0.686629526462396,1.20200768372785
"26",28,365662.5707,4304131.571,1,0,0,0,6,255,675,400,3633,0.801636498884205,1.96200995266416,-0.686629526462396,1.20200768372785
"27",28,365662.5707,4304131.571,1,0,0,0,6,255,675,400,3633,0.801636498884205,1.96200995266416,-0.686629526462396,1.20200768372785
"28",31,365663.8751,4304109.609,1,0,0,0,6,263,680,447,3418,0.76869340232859,1.79995153277596,-0.668130795510005,1.15259278417173
"29",32,365663.9129,4304110.907,1,0,0,0,6,263,680,447,3418,0.76869340232859,1.79995153277596,-0.668130795510005,1.15259278417173
"30",35,365665.3185,4304077.597,2,2,0,4,6,258,532,447,2818,0.726186830015314,1.6631593714927,-0.682388059701493,1.08878003979795
"31",36,365665.4504,4304078.477,2,2,0,4,6,258,532,447,2818,0.726186830015314,1.6631593714927,-0.682388059701493,1.08878003979795
"32",37,365665.7342,4304070.99,3,5,0,0,4,258,532,447,2818,0.726186830015314,1.6631593714927,-0.682388059701493,1.08878003979795
"33",38,365665.6046,4304070.102,3,5,0,0,4,258,532,447,2818,0.726186830015314,1.6631593714927,-0.682388059701493,1.08878003979795
"34",39,365664.3616,4304070.294,2,2,0,4,6,258,532,447,2818,0.726186830015314,1.6631593714927,-0.682388059701493,1.08878003979795
"35",39,365664.3616,4304070.294,3,5,0,0,4,258,532,447,2818,0.726186830015314,1.6631593714927,-0.682388059701493,1.08878003979795
"36",40,365664.5335,4304071.199,2,2,0,4,6,258,532,447,2818,0.726186830015314,1.6631593714927,-0.682388059701493,1.08878003979795
"37",40,365664.5335,4304071.199,3,5,0,0,4,258,532,447,2818,0.726186830015314,1.6631593714927,-0.682388059701493,1.08878003979795
"38",41,365664.9221,4304052.16,3,5,0,0,4,241,500,389,2760,0.752937440457288,1.80413940039568,-0.693251533742331,1.12886843358197
"39",42,365664.9574,4304050.992,3,5,0,0,4,241,500,389,2760,0.752937440457288,1.80413940039568,-0.693251533742331,1.12886843358197
"40",43,365664.1971,4304050.846,3,5,0,0,4,241,500,389,2760,0.752937440457288,1.80413940039568,-0.693251533742331,1.12886843358197
"41",44,365663.7935,4304051.791,3,5,0,0,4,241,500,389,2760,0.752937440457288,1.80413940039568,-0.693251533742331,1.12886843358197
"42",44,365663.7935,4304051.791,4,3,0,5,4,241,500,389,2760,0.752937440457288,1.80413940039568,-0.693251533742331,1.12886843358197
"43",48,365667.3501,4304019.979,3,0,0,4,6,220,435,359,2534,0.751814725198756,1.79041817583141,-0.706972044459414,1.12713767490067
"44",51,365670.1027,4304006.391,2,0,0,0,4,234,474,354,2765,0.773004168002565,1.92387488030642,-0.707317073170732,1.15894888639641
"45",52,365669.4802,4304007.275,2,0,0,0,4,234,474,354,2765,0.773004168002565,1.92387488030642,-0.707317073170732,1.15894888639641
"46",53,365672.0426,4303980.628,0,0,0,5,3,256,493,317,3053,0.81186943620178,2.25444957152274,-0.721940214326001,1.21726234613673
"47",54,365671.9141,4303979.687,0,0,0,5,3,256,493,317,3053,0.81186943620178,2.25444957152274,-0.721940214326001,1.21726234613673
"48",55,365670.6986,4303979.756,0,0,0,5,3,256,493,317,3053,0.81186943620178,2.25444957152274,-0.721940214326001,1.21726234613673
"49",56,365670.7773,4303980.751,0,0,0,5,3,256,493,317,3053,0.81186943620178,2.25444957152274,-0.721940214326001,1.21726234613673
"50",59,365671.4794,4303944.737,4,0,0,5,6,244,462,346,2525,0.758969000348311,1.96660649819495,-0.690659524606629,1.1378590078329
"51",59,365671.4794,4303944.737,3,5,0,3,6,244,462,346,2525,0.758969000348311,1.96660649819495,-0.690659524606629,1.1378590078329
"52",60,365671.4108,4303945.581,4,0,0,5,6,244,462,346,2525,0.758969000348311,1.96660649819495,-0.690659524606629,1.1378590078329
"53",60,365671.4108,4303945.581,3,5,0,3,6,244,462,346,2525,0.758969000348311,1.96660649819495,-0.690659524606629,1.1378590078329
"54",63,365673.0845,4303917.944,2,0,0,4,5,224,460,327,2843,0.793690851735016,2.0134443021767,-0.721465334544354,1.18997319880183
"55",64,365672.9292,4303918.925,2,0,0,4,5,224,460,327,2843,0.793690851735016,2.0134443021767,-0.721465334544354,1.18997319880183
