"","plot.id","easting","northing","disp","ivfr","phau","scam","sppa","band2","band3","band4","band5","ndvi","evi","ndwi","savi"
"1",4,365671.937,4303961.435,0,3,0,4,6,278,466,389,2182,0.697394010112797,1.84465020576132,-0.648036253776435,1.04548104956268
"2",4,365671.937,4303961.435,4,1,0,4,5,278,466,389,2182,0.697394010112797,1.84465020576132,-0.648036253776435,1.04548104956268
"3",5,365672.2157,4303960.269,0,3,0,4,6,278,466,389,2182,0.697394010112797,1.84465020576132,-0.648036253776435,1.04548104956268
"4",5,365672.2157,4303960.269,4,1,0,4,5,278,466,389,2182,0.697394010112797,1.84465020576132,-0.648036253776435,1.04548104956268
"5",6,365671.2172,4303960.091,0,3,0,4,6,278,466,389,2182,0.697394010112797,1.84465020576132,-0.648036253776435,1.04548104956268
"6",6,365671.2172,4303960.091,4,1,0,4,5,278,466,389,2182,0.697394010112797,1.84465020576132,-0.648036253776435,1.04548104956268
"7",7,365670.982,4303961.041,0,3,0,4,6,278,466,389,2182,0.697394010112797,1.84465020576132,-0.648036253776435,1.04548104956268
"8",7,365670.982,4303961.041,4,1,0,4,5,278,466,389,2182,0.697394010112797,1.84465020576132,-0.648036253776435,1.04548104956268
"9",9,365671.9276,4303961.414,0,3,0,4,6,278,466,389,2182,0.697394010112797,1.84465020576132,-0.648036253776435,1.04548104956268
"10",9,365671.9276,4303961.414,4,1,0,4,5,278,466,389,2182,0.697394010112797,1.84465020576132,-0.648036253776435,1.04548104956268
"11",10,365672.09,4303960.205,0,3,0,4,6,278,466,389,2182,0.697394010112797,1.84465020576132,-0.648036253776435,1.04548104956268
"12",10,365672.09,4303960.205,4,1,0,4,5,278,466,389,2182,0.697394010112797,1.84465020576132,-0.648036253776435,1.04548104956268
"13",11,365671.349,4303960.002,0,3,0,4,6,278,466,389,2182,0.697394010112797,1.84465020576132,-0.648036253776435,1.04548104956268
"14",11,365671.349,4303960.002,4,1,0,4,5,278,466,389,2182,0.697394010112797,1.84465020576132,-0.648036253776435,1.04548104956268
"15",12,365670.8875,4303961.096,0,3,0,4,6,278,466,389,2182,0.697394010112797,1.84465020576132,-0.648036253776435,1.04548104956268
"16",12,365670.8875,4303961.096,4,1,0,4,5,278,466,389,2182,0.697394010112797,1.84465020576132,-0.648036253776435,1.04548104956268
"17",14,365662.4043,4304176.912,3,0,0,0,0,228,487,399,1678,0.615792007703418,1.35429902583651,-0.550115473441109,0.923021409670435
"18",15,365661.5503,4304176.755,3,0,0,0,0,228,487,399,1678,0.615792007703418,1.35429902583651,-0.550115473441109,0.923021409670435
"19",19,365662.4442,4304156.412,3,0,0,0,0,236,492,397,2411,0.717236467236467,1.66611515552614,-0.661040303134688,1.07528029898558
"20",20,365662.2901,4304157.286,3,0,0,0,0,236,492,397,2411,0.717236467236467,1.66611515552614,-0.661040303134688,1.07528029898558
"21",23,365662.7492,4304143.794,4,2,0,0,6,291,553,411,2720,0.737464068987544,1.9225645295587,-0.662083715245952,1.10566640063847
"22",24,365662.7919,4304144.912,4,2,0,0,6,291,553,411,2720,0.737464068987544,1.9225645295587,-0.662083715245952,1.10566640063847
"23",26,365663.3497,4304130.746,5,0,0,0,5,291,553,411,2720,0.737464068987544,1.9225645295587,-0.662083715245952,1.10566640063847
"24",27,365662.4909,4304130.647,4,2,0,0,6,291,553,411,2720,0.737464068987544,1.9225645295587,-0.662083715245952,1.10566640063847
"25",27,365662.4909,4304130.647,5,0,0,0,5,291,553,411,2720,0.737464068987544,1.9225645295587,-0.662083715245952,1.10566640063847
"26",28,365662.5707,4304131.571,4,2,0,0,6,291,553,411,2720,0.737464068987544,1.9225645295587,-0.662083715245952,1.10566640063847
"27",28,365662.5707,4304131.571,5,0,0,0,5,291,553,411,2720,0.737464068987544,1.9225645295587,-0.662083715245952,1.10566640063847
"28",31,365663.8751,4304109.609,4,1,0,0,6,326,609,505,2664,0.681287472388766,1.66179187192118,-0.627864344637947,1.02144772117962
"29",32,365663.9129,4304110.907,4,1,0,0,6,326,609,505,2664,0.681287472388766,1.66179187192118,-0.627864344637947,1.02144772117962
"30",35,365665.3185,4304077.597,5,2,0,4,6,299,517,491,2233,0.639500734214391,1.48356327712485,-0.624,0.958723170060539
"31",36,365665.4504,4304078.477,5,2,0,4,6,299,517,491,2233,0.639500734214391,1.48356327712485,-0.624,0.958723170060539
"32",37,365665.7342,4304070.99,3,4,0,3,5,299,517,491,2233,0.639500734214391,1.48356327712485,-0.624,0.958723170060539
"33",38,365665.6046,4304070.102,3,4,0,3,5,299,517,491,2233,0.639500734214391,1.48356327712485,-0.624,0.958723170060539
"34",39,365664.3616,4304070.294,5,2,0,4,6,299,517,491,2233,0.639500734214391,1.48356327712485,-0.624,0.958723170060539
"35",39,365664.3616,4304070.294,3,4,0,3,5,299,517,491,2233,0.639500734214391,1.48356327712485,-0.624,0.958723170060539
