"","plot.id","easting","northing","scam","ivfr","c4","phau","spcy","tyla","dead","bare_water","band2","band3","band4","band5","ndvi","evi","ndwi","savi"
"1",1,365375.931,4304068.981,5,0,0,0,0,1,0,0,210,398,338,749,0.378104875804968,0.855537052456286,-0.306015693112467,0.566375746440055
"2",4,365436.058,4304008.928,6,0,0,0,0,1,2,0,197,414,296,2592,0.795013850415512,1.98650285516525,-0.724550898203593,1.19190171309915
"3",4,365436.058,4304008.928,0,4,0,4,0,0,0,0,197,414,296,2592,0.795013850415512,1.98650285516525,-0.724550898203593,1.19190171309915
"4",5,365435.93,4304029.066,0,5,0,0,5,0,2,0,197,414,296,2592,0.795013850415512,1.98650285516525,-0.724550898203593,1.19190171309915
"5",5,365435.93,4304029.066,0,0,0,0,0,0,0,0,197,414,296,2592,0.795013850415512,1.98650285516525,-0.724550898203593,1.19190171309915
"6",6,365436.097,4304048.939,0,0,0,0,0,0,0,0,139,389,250,2525,0.81981981981982,1.90759684722455,-0.733013040494166,1.22906537007023
"7",6,365436.097,4304048.939,2,4,0,0,0,0,0,0,139,389,250,2525,0.81981981981982,1.90759684722455,-0.733013040494166,1.22906537007023
"8",8,365455.989,4304009.022,1,5,0,4,3,0,0,2,197,414,296,2592,0.795013850415512,1.98650285516525,-0.724550898203593,1.19190171309915
"9",9,365455.966,4304028.954,0,0,0,0,0,0,0,0,197,414,296,2592,0.795013850415512,1.98650285516525,-0.724550898203593,1.19190171309915
"10",9,365455.966,4304028.954,1,5,0,4,3,0,0,2,197,414,296,2592,0.795013850415512,1.98650285516525,-0.724550898203593,1.19190171309915
"11",9,365455.966,4304028.954,1,3,0,0,4,0,2,5,197,414,296,2592,0.795013850415512,1.98650285516525,-0.724550898203593,1.19190171309915
"12",10,365455.973,4304049.018,2,4,0,0,0,0,0,0,139,389,250,2525,0.81981981981982,1.90759684722455,-0.733013040494166,1.22906537007023
"13",10,365455.973,4304049.018,1,4,0,0,3,0,0,4,139,389,250,2525,0.81981981981982,1.90759684722455,-0.733013040494166,1.22906537007023
"14",11,365456.016,4304068.914,1,4,0,0,3,0,0,4,179,424,341,1287,0.581081081081081,1.18874088967077,-0.504383401519579,0.870819269714636
"15",11,365456.016,4304068.914,3,0,0,0,5,0,0,4,179,424,341,1287,0.581081081081081,1.18874088967077,-0.504383401519579,0.870819269714636
"16",12,365476.041,4304008.875,1,5,0,4,3,0,0,2,211,473,317,2458,0.771531531531532,1.92778678191968,-0.677243261685432,1.15667206915181
"17",12,365476.041,4304008.875,4,2,3,0,0,0,3,2,211,473,317,2458,0.771531531531532,1.92778678191968,-0.677243261685432,1.15667206915181
"18",12,365476.041,4304008.875,2,5,3,0,2,0,1,5,211,473,317,2458,0.771531531531532,1.92778678191968,-0.677243261685432,1.15667206915181
"19",13,365476.203,4304029.013,2,5,1,0,4,0,2,0,211,473,317,2458,0.771531531531532,1.92778678191968,-0.677243261685432,1.15667206915181
"20",14,365475.939,4304048.999,1,4,0,0,3,0,0,4,206,437,329,1386,0.616326530612245,1.45672546857773,-0.520570488206253,0.923681910865133
"21",14,365475.939,4304048.999,2,5,1,0,4,0,2,0,206,437,329,1386,0.616326530612245,1.45672546857773,-0.520570488206253,0.923681910865133
"22",14,365475.939,4304048.999,0,1,0,6,0,0,3,2,206,437,329,1386,0.616326530612245,1.45672546857773,-0.520570488206253,0.923681910865133
"23",15,365475.997,4304068.978,3,0,0,0,5,0,0,4,355,519,443,408,-0.0411280846063455,-0.217391304347826,0.119741100323625,-0.06158357771261
"24",15,365475.997,4304068.978,1,5,0,4,0,0,2,0,355,519,443,408,-0.0411280846063455,-0.217391304347826,0.119741100323625,-0.06158357771261
"25",16,365478.111,4304088.951,1,5,0,4,0,0,2,0,355,519,443,408,-0.0411280846063455,-0.217391304347826,0.119741100323625,-0.06158357771261
"26",16,365478.111,4304088.951,2,3,0,0,4,0,0,4,355,519,443,408,-0.0411280846063455,-0.217391304347826,0.119741100323625,-0.06158357771261
"27",17,365496.016,4304009.074,0,6,0,0,0,0,0,0,231,475,326,2467,0.76655925528106,1.99014686744748,-0.677090414683889,1.14922168545357
"28",18,365496.016,4304028.958,0,6,0,0,0,0,0,0,231,475,326,2467,0.76655925528106,1.99014686744748,-0.677090414683889,1.14922168545357
"29",18,365496.016,4304028.958,0,5,3,0,0,0,0,0,231,475,326,2467,0.76655925528106,1.99014686744748,-0.677090414683889,1.14922168545357
"30",19,365495.89,4304049.043,0,1,0,6,0,0,3,2,210,442,318,2101,0.737081438610996,1.83210028771065,-0.652379079826976,1.10493699648833
"31",19,365495.89,4304049.043,3,5,0,0,0,0,0,0,210,442,318,2101,0.737081438610996,1.83210028771065,-0.652379079826976,1.10493699648833
"32",20,365496.002,4304068.948,1,5,0,4,0,0,2,0,254,453,355,1234,0.553178099433606,1.50720164609053,-0.462951985773563,0.828984596038981
"33",20,365496.002,4304068.948,3,5,0,0,0,0,0,0,254,453,355,1234,0.553178099433606,1.50720164609053,-0.462951985773563,0.828984596038981
"34",20,365496.002,4304068.948,3,2,3,0,0,0,4,0,254,453,355,1234,0.553178099433606,1.50720164609053,-0.462951985773563,0.828984596038981
"35",21,365496.085,4304089.029,2,3,0,0,4,0,0,4,254,453,355,1234,0.553178099433606,1.50720164609053,-0.462951985773563,0.828984596038981
"36",21,365496.085,4304089.029,3,2,3,0,0,0,4,0,254,453,355,1234,0.553178099433606,1.50720164609053,-0.462951985773563,0.828984596038981
"37",21,365496.085,4304089.029,0,3,4,0,0,0,0,0,254,453,355,1234,0.553178099433606,1.50720164609053,-0.462951985773563,0.828984596038981
"38",22,365498.319,4304108.88,0,3,4,0,0,0,0,0,312,504,415,579,0.164989939637827,0.563186813186813,-0.0692520775623269,0.247112004018081
"39",23,365516.40375,4303988.55125,0,5,4,0,0,0,0,0,223,409,316,2135,0.742146062831497,1.92895015906681,-0.678459119496855,1.11253822629969
"40",23,365516.40375,4303988.55125,3,0,4,0,0,0,3,0,223,409,316,2135,0.742146062831497,1.92895015906681,-0.678459119496855,1.11253822629969
"41",23,365516.40375,4303988.55125,4,0,4,0,0,0,3,2,223,409,316,2135,0.742146062831497,1.92895015906681,-0.678459119496855,1.11253822629969
"42",24,365516.7155,4304008.61775,4,0,4,0,0,0,3,2,231,475,326,2467,0.76655925528106,1.99014686744748,-0.677090414683889,1.14922168545357
"43",24,365516.7155,4304008.61775,3,0,3,0,0,0,4,0,231,475,326,2467,0.76655925528106,1.99014686744748,-0.677090414683889,1.14922168545357
"44",26,365515.505,4304048.736,3,5,0,0,0,0,0,0,210,442,318,2101,0.737081438610996,1.83210028771065,-0.652379079826976,1.10493699648833
"45",26,365515.505,4304048.736,2,4,2,0,0,0,4,0,210,442,318,2101,0.737081438610996,1.83210028771065,-0.652379079826976,1.10493699648833
"46",27,365515.542,4304070.027,3,2,3,0,0,0,4,0,254,453,355,1234,0.553178099433606,1.50720164609053,-0.462951985773563,0.828984596038981
"47",27,365515.542,4304070.027,0,2,4,0,0,0,4,0,254,453,355,1234,0.553178099433606,1.50720164609053,-0.462951985773563,0.828984596038981
"48",28,365516.31675,4304089.335,0,3,4,0,0,0,3,0,312,504,415,579,0.164989939637827,0.563186813186813,-0.0692520775623269,0.247112004018081
"49",29,365516.03175,4304109.48075,0,0,0,5,0,0,2,0,312,504,415,579,0.164989939637827,0.563186813186813,-0.0692520775623269,0.247112004018081
"50",30,365535.055,4303948.271,3,0,2,0,0,0,5,0,253,437,317,2808,0.79712,2.21500978125556,-0.730662557781202,1.1951063489525
"51",30,365535.055,4303948.271,3,0,4,0,0,0,4,0,253,437,317,2808,0.79712,2.21500978125556,-0.730662557781202,1.1951063489525
"52",32,365536.309,4303989.341,4,0,4,0,0,0,3,2,256,469,391,2507,0.73015873015873,1.80422919508868,-0.684811827956989,1.09467149508536
"53",32,365536.309,4303989.341,4,0,4,0,0,0,4,0,256,469,391,2507,0.73015873015873,1.80422919508868,-0.684811827956989,1.09467149508536
"54",33,365536.658,4304009.147,3,0,4,0,0,0,4,0,271,504,395,2608,0.736929736929737,1.87892681270165,-0.676092544987147,1.10484273589616
"55",34,365536.5378,4304029.0484,3,0,4,0,0,0,4,0,271,504,395,2608,0.736929736929737,1.87892681270165,-0.676092544987147,1.10484273589616
"56",35,365535.747,4304069.018,0,2,4,0,0,0,4,0,261,488,386,2298,0.712369597615499,1.80003765769158,-0.64967695620962,1.06795754980451
"57",35,365535.747,4304069.018,0,5,0,5,0,0,2,0,261,488,386,2298,0.712369597615499,1.80003765769158,-0.64967695620962,1.06795754980451
"58",36,365536.004,4304089.144,0,4,0,4,0,0,2,0,301,507,415,1701,0.607750472589792,1.66364812419146,-0.540760869565217,0.910979929161747
"59",37,365535.849,4304109.311,0,0,0,5,0,0,2,0,301,507,415,1701,0.607750472589792,1.66364812419146,-0.540760869565217,0.910979929161747
"60",37,365535.849,4304109.311,0,0,0,6,0,0,1,0,301,507,415,1701,0.607750472589792,1.66364812419146,-0.540760869565217,0.910979929161747
"61",38,365536.306,4304128.04,0,0,0,6,0,0,1,0,341,514,419,570,0.15267947421638,0.718363463368221,-0.0516605166051661,0.228672387682988
"62",39,365555.966,4303869.041,4,0,1,0,0,0,2,2,295,421,324,2656,0.78255033557047,2.44290802430337,-0.726356841078973,1.17323494885125
"63",40,365555.916,4303889.089,4,0,1,0,0,0,2,2,260,440,299,3398,0.838247227481742,2.3904659055847,-0.770713913496613,1.25686088954982
"64",41,365555.776,4303948.999,2,0,3,0,0,0,4,0,339,550,478,2628,0.692208628461043,1.82049110922947,-0.653870358716174,1.03781174577635
"65",42,365556.175,4304008.864,2,0,4,0,0,0,4,0,271,504,395,2608,0.736929736929737,1.87892681270165,-0.676092544987147,1.10484273589616
"66",42,365556.175,4304008.864,2,0,4,0,0,0,4,0,271,504,395,2608,0.736929736929737,1.87892681270165,-0.676092544987147,1.10484273589616
"67",43,365555.848,4304029.036,3,0,4,0,0,0,4,0,274,496,409,2335,0.701895043731778,1.76180021953897,-0.649593783115507,1.05226734656711
"68",43,365555.848,4304029.036,2,0,4,0,0,0,4,0,274,496,409,2335,0.701895043731778,1.76180021953897,-0.649593783115507,1.05226734656711
"69",43,365555.848,4304029.036,2,5,4,0,0,0,1,0,274,496,409,2335,0.701895043731778,1.76180021953897,-0.649593783115507,1.05226734656711
"70",44,365557.225,4304048.593,2,5,4,0,0,0,1,0,274,496,409,2335,0.701895043731778,1.76180021953897,-0.649593783115507,1.05226734656711
"71",44,365557.225,4304048.593,0,4,0,4,0,0,0,5,274,496,409,2335,0.701895043731778,1.76180021953897,-0.649593783115507,1.05226734656711
"72",45,365556.431,4304068.797,0,4,0,4,0,0,0,5,279,513,412,2290,0.695040710584752,1.75941540191119,-0.63396361041741,1.04198261512854
"73",45,365556.431,4304068.797,0,1,0,5,0,0,5,0,279,513,412,2290,0.695040710584752,1.75941540191119,-0.63396361041741,1.04198261512854
"74",46,365555.149,4304088.725,0,4,0,4,0,0,2,0,302,509,407,2508,0.720754716981132,1.95696721311475,-0.662578720583361,1.08057603291617
"75",46,365555.149,4304088.725,0,1,0,5,0,0,5,0,302,509,407,2508,0.720754716981132,1.95696721311475,-0.662578720583361,1.08057603291617
"76",46,365555.149,4304088.725,0,0,0,6,0,0,3,0,302,509,407,2508,0.720754716981132,1.95696721311475,-0.662578720583361,1.08057603291617
"77",47,365555.711,4304109.139,0,0,0,6,0,0,1,0,302,509,407,2508,0.720754716981132,1.95696721311475,-0.662578720583361,1.08057603291617
"78",47,365555.711,4304109.139,0,0,0,6,0,0,2,0,302,509,407,2508,0.720754716981132,1.95696721311475,-0.662578720583361,1.08057603291617
"79",48,365556.802,4304129.265,0,5,2,3,0,0,2,0,318,483,376,1857,0.663233318405732,2.14389114070643,-0.587179487179487,0.994182143656299
"80",49,365579.312,4303828.03,3,0,0,1,0,2,2,3,293,385,373,1537,0.609424083769634,1.84586108468126,-0.599375650364204,0.913418781061993
"81",49,365579.312,4303828.03,4,0,1,0,0,0,0,5,293,385,373,1537,0.609424083769634,1.84586108468126,-0.599375650364204,0.913418781061993
"82",50,365575.218,4303848.926,5,0,1,0,0,0,2,3,252,423,249,3459,0.865695792880259,2.6208360548661,-0.782071097372488,1.29801860088961
"83",50,365575.218,4303848.926,4,0,1,0,0,0,0,5,252,423,249,3459,0.865695792880259,2.6208360548661,-0.782071097372488,1.29801860088961
"84",50,365575.218,4303848.926,3,0,0,0,0,0,2,5,252,423,249,3459,0.865695792880259,2.6208360548661,-0.782071097372488,1.29801860088961
"85",51,365575.691,4303868.805,4,0,1,0,0,0,2,2,295,421,324,2656,0.78255033557047,2.44290802430337,-0.726356841078973,1.17323494885125
"86",51,365575.691,4303868.805,3,0,0,0,0,0,2,5,295,421,324,2656,0.78255033557047,2.44290802430337,-0.726356841078973,1.17323494885125
"87",51,365575.691,4303868.805,3,0,1,0,0,0,0,5,295,421,324,2656,0.78255033557047,2.44290802430337,-0.726356841078973,1.17323494885125
"88",52,365576.176,4303889.19,4,0,2,0,0,0,4,3,333,498,477,1884,0.595933926302414,1.5650723025584,-0.581863979848867,0.893333333333333
